actions_present,actions_past
watches a movie,watched a movie
loads the laundry,loaded the laundry
prints some documents,printed some documents
reads a book,read a book
washes the dishes,washed the dishes
takes a shower,took a shower
watches TV,watched TV
plays video games,played video games
calls a friend,called a friend
calls their partner,called their partner
watches the news,watched the news
reads the newspaper,read the newspaper
reads the mail,read the mail
does yoga,did yoga
exercises,exercised
goes for a walk,went for a walk
goes for a run,went for a run
leaves for work,left for work
goes to bed,went to bed
wakes up,woke up
eats a meal,ate a meal
drinks coffee,drank coffee
drinks tea,drank tea
meditates,meditated
has a snack,had a snack
prepares for bed,prepared for bed
prepares for work,prepared for work
has a meeting,had a meeting
makes a phone call,made a phone call
sends some emails,sent some emails
does stretching,did stretching
plays a musical instrument,played a musical instrument
rides a bike,rode a bike
uses the computer,used the computer
looks at social media,looked at social media
reads a novel,read a novel
drinks water,drank water
prepares food,prepared food
checks the news,checked the news
checks the weather,checked the weather
checks the stock market,checked the stock market
packs the bag,packed the bag
does some chores,did some chores
tidies up the room,tidied up the room
writes in a journal,wrote in a journal
naps,napped
listens to music,listened to music
listens to a podcast,listened to a podcast
takes a break,took a break
uses the phone,used the phone
